
      4.7400000        4.360000          103.92           30.99         0.00823            7.30           1.000           0.000           0.000          27.136           0.000           1.653          10.302           0.000           0.000           0.000           7.435           1.770           0.000           0.000           5.172           0.034           6.424
      4.7400000        4.367000          104.25           30.49         0.00822            7.35           1.000           0.000           0.000          27.118           0.000           1.653          10.302           0.000           0.000           0.000           7.354           1.780           0.000           0.000           5.249           0.024           7.137
      4.7400000        4.374000          104.64           29.94         0.01410            6.42           2.288           0.000           0.000          26.076           0.000           1.653          10.302           0.000           0.000           0.000           7.291           2.703           0.000           0.000           4.601           0.001           7.804
      4.7400000        4.381000          104.92           29.41         0.01928            5.29           1.385           0.000           0.000          22.814           0.000           1.653          10.302           0.000           0.000           0.000           7.305           3.521           0.000           0.000           3.710           0.005           8.612
      4.7400000        4.388000          105.25           28.93         0.01924            5.50           1.243         881.697           3.651          22.524           0.000           1.653          10.302           0.000           0.000           0.000           7.207           3.456           0.000           0.000           3.845           0.017           9.403
      4.7400000        4.395000          105.87           28.46         0.02008            5.43           1.331           0.000           0.000          22.221           0.000           1.653          10.302           0.000           0.000           0.000           7.135           3.701           0.000           0.000           3.746           0.032          10.287
      4.7400000        4.402000          106.93           28.10         0.01357            6.86           2.401           0.000           0.000          26.235           0.000           1.653          10.302           0.000           0.000           0.000           6.959           2.672           0.000           0.000           4.949           0.004          11.340
      4.7400000        4.409000          107.55           27.63         0.01622            6.46           1.880           0.000           0.000          24.888           0.000           1.653          10.302           0.000           0.000           0.000           6.879           3.097           0.000           0.000           4.588           0.019          12.274
      4.7400000        4.416000          108.32           27.20         0.01708            6.42           1.750           0.000           0.000          24.360           0.000           1.653          10.302           0.000           0.000           0.000           6.804           3.254           0.000           0.000           4.507           0.035          13.314
      4.7400000        4.423000          109.44           26.87         0.00800            8.02           1.000           0.000           0.000          27.059           0.000           1.653          10.302           0.000           0.000           0.000           6.673           1.858           0.000           0.000           5.863           0.004          14.625
      4.7400000        4.430000          109.86           26.31         0.02175            5.81           1.252           0.000           0.000          20.971           0.000           1.653          10.302           0.000           0.000           0.000           6.620           4.127           0.000           0.000           3.723           0.134          15.366
      4.7400000        4.437000          110.82           25.92         0.02173            6.00           1.138         882.345           2.401          20.657           0.000           1.653          10.302           0.000           0.000           0.000           6.531           4.055           0.000           0.000           3.795           0.157          16.582
      4.7400000        4.444000          112.63           25.70         0.00792            8.42           1.000           0.000           0.000          27.057           0.000           1.653          10.302           0.000           0.000           0.000           6.394           1.893           0.000           0.000           6.120           0.022          18.299
      4.7400000        4.451000          113.09           25.16         0.02215            6.32           1.067         881.672           3.982          20.141           0.000           1.653          10.302           0.000           0.000           0.000           6.362           4.128           0.000           0.000           3.841           0.220          19.182
      4.7400000        4.458000          114.41           24.81         0.02281            6.20           1.136           0.000           0.000          19.904           0.000           1.653          10.302           0.000           0.000           0.000           6.260           4.357           0.000           0.000           3.694           0.238          20.590
      4.7400000        4.465000          115.72           24.45         0.02265            6.66           1.041         881.694           3.993          19.694           0.000           1.653          10.302           0.000           0.000           0.000           6.144           4.259           0.000           0.000           3.861           0.294          21.937
      4.7400000        4.472000          117.22           24.11         0.02343            6.64           1.119           0.000           0.000          19.399           0.000           1.653          10.302           0.000           0.000           0.000           6.133           4.520           0.000           0.000           3.714           0.335          23.621
      4.7400000        4.479000          119.58           23.91         0.01298            8.68           2.513           0.000           0.000          26.380           0.000           1.653          10.302           0.000           0.000           0.000           5.918           2.747           0.000           0.000           5.910           0.141          25.466
      4.7400000        4.486000          120.74           23.51         0.01990            7.86           1.402           0.000           0.000          22.293           0.000           1.653          10.302           0.000           0.000           0.000           5.847           3.901           0.000           0.000           4.695           0.316          26.816
      4.7400000        4.493000          122.06           23.13         0.02384            7.61           1.048         882.558           1.921          18.839           0.000           1.653          10.302           0.000           0.000           0.000           5.740           4.617           0.000           0.000           3.887           0.507          28.216
      4.7400000        4.500000          124.66           22.95         0.01589            9.00           1.899           0.000           0.000          24.937           0.000           1.653          10.302           0.000           0.000           0.000           5.616           3.243           0.000           0.000           5.677           0.282          30.457
      4.7400000        4.507000          125.76           22.54         0.02427            8.07           1.010         882.381           2.544          18.368           0.000           1.653          10.302           0.000           0.000           0.000           5.622           4.710           0.000           0.000           3.907           0.608          32.037
      4.7400000        4.514000          128.94           22.47         0.00771           10.45           1.000           0.000           0.000          27.130           0.000           1.653          10.302           0.000           0.000           0.000           5.382           2.034           0.000           0.000           7.050           0.210          34.505
      4.7400000        4.521000          131.02           22.16         0.01259           10.25           2.598           0.000           0.000          26.555           0.000           1.653          10.302           0.000           0.000           0.000           5.289           2.795           0.000           0.000           6.521           0.316          36.331
      4.7400000        4.528000          132.09           21.72         0.02500            9.06           1.013         882.292           1.649          17.815           0.000           1.653          10.302           0.000           0.000           0.000           5.305           4.943           0.000           0.000           3.961           0.821          37.885
      4.7400000        4.535000          135.49           21.63         0.01448           10.65           2.140           0.000           0.000          25.703           0.000           1.653          10.302           0.000           0.000           0.000           5.084           3.110           0.000           0.000           6.396           0.442          40.430
      4.7400000        4.542000          136.82           21.23         0.02518            9.83           1.000         882.222           1.861          17.623           0.000           1.653          10.302           0.000           0.000           0.000           5.003           5.020           0.000           0.000           4.075           0.962          41.874
      4.7400000        4.549000          139.36           21.00         0.02515           10.23           1.000         882.204           1.935          17.630           0.000           1.653          10.302           0.000           0.000           0.000           4.900           5.032           0.000           0.000           4.158           1.028          44.148
      4.7400000        4.556000          142.01           20.78         0.02513           10.66           1.000         882.186           2.008          17.642           0.000           1.653          10.302           0.000           0.000           0.000           4.790           5.044           0.000           0.000           4.247           1.099          46.469
      4.7400000        4.563000          144.77           20.57         0.02510           11.08           1.000         882.168           2.085          17.652           0.000           1.653          10.302           0.000           0.000           0.000           4.677           5.058           0.000           0.000           4.331           1.167          48.869
      4.7400000        4.570000          147.64           20.36         0.02507           11.52           1.000         882.151           2.162          17.668           0.000           1.653          10.302           0.000           0.000           0.000           4.555           5.072           0.000           0.000           4.420           1.240          51.304
      4.7400000        4.577000          150.62           20.17         0.02505           11.91           1.000         882.131           2.241          17.679           0.000           1.653          10.302           0.000           0.000           0.000           4.443           5.086           0.000           0.000           4.497           1.306          53.873
      4.7400000        4.584000          154.61           20.10         0.01827           12.86           1.544           0.000           0.000          23.457           0.000           1.653          10.302           0.000           0.000           0.000           4.305           3.877           0.000           0.000           6.293           0.969          57.061
      4.7400000        4.591000          158.11           19.97         0.01479           13.62           1.609           0.000           0.000          25.189           0.000           1.653          10.302           0.000           0.000           0.000           4.191           3.229           0.000           0.000           7.140           0.888          60.050
      4.7400000        4.598000          161.88           19.87         0.00752           14.48           1.013           0.000           0.000          27.401           0.000           1.653          10.302           0.000           0.000           0.000           4.040           2.259           0.000           0.000           8.330           0.732          63.120
      4.7400000        4.605000          163.73           19.49         0.02495           13.96           1.000         882.053           2.573          17.739           0.000           1.653          10.302           0.000           0.000           0.000           3.999           5.143           0.000           0.000           4.882           1.651          64.897
      4.7400000        4.612000          167.31           19.34         0.02492           14.43           1.000         882.033           2.658          17.765           0.000           1.653          10.302           0.000           0.000           0.000           3.860           5.160           0.000           0.000           4.971           1.730          67.731
      4.7400000        4.619000          171.09           19.25         0.02491           13.87           1.002         882.000           2.798          17.759           0.000           1.653          10.302           0.000           0.000           0.000           3.971           5.152           0.000           0.000           4.872           1.633          72.351
      4.7400000        4.626000          175.34           19.13         0.02168           15.52           1.211         882.394           1.326          20.789           0.000           1.653          10.302           0.000           0.000           0.000           3.616           4.618           0.000           0.000           6.033           1.646          74.182
