             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV)         chi^2_K         chi^2_K       chi^2_eps         chi^2_D     chi^2_Bd_re     chi^2_Bd_im     chi^2_Bs_re     chi^2_Bs_im  chi^2_Bd_decay  chi^2_Bs_decay  chi^2_K1_decay  chi^2_K2_decay  chi^2_K3_decay       chi^2_Vud       chi^2_Vus       chi^2_Vub

      4.6701000        0.010000          562.83          342.73         0.00649           10.69           1.021           0.000           0.000          50.277           0.000           1.653          10.302           0.000           0.000           0.000           5.862           2.339           0.000           0.000           3.106           1.308           5.161
      4.6701000        0.020000          549.27          330.94         0.00645           10.23           1.310           0.000           0.000          48.397           0.000           1.653          10.302           0.000           0.000           0.000           5.544           2.355           0.000           0.000           3.236           1.175           5.836
      4.6701000        0.030000          535.70          319.27         0.00644           10.01           1.032           0.000           0.000          46.459           0.000           1.653          10.302           0.000           0.000           0.000           5.290           2.369           0.000           0.000           3.302           1.111           6.275
      4.6701000        0.040000          522.23          307.64         0.00619            9.81           1.008           0.000           0.000          44.484           0.000           1.653          10.302           0.000           0.000           0.000           4.998           2.385           0.000           0.000           3.389           1.047           6.813
      4.6701000        0.050000          508.84          296.13         0.00647            9.58           1.032           0.000           0.000          42.488           0.000           1.653          10.302           0.000           0.000           0.000           4.752           2.399           0.000           0.000           3.436           0.984           7.263
      4.6701000        0.060000          495.59          284.70         0.00649            9.45           1.004           0.000           0.000          40.485           0.000           1.653          10.302           0.000           0.000           0.000           4.477           2.416           0.000           0.000           3.480           0.943           7.740
      4.6701000        0.070000          482.54          273.40         0.00015            9.69          10.000           0.000           0.000          38.465           0.000           1.653          10.302           0.000           0.000           0.000           4.130           2.436           0.000           0.000           3.765           0.924           8.181
      4.6701000        0.080000          469.58          262.28         0.00649            8.99           1.007           0.000           0.000          36.506           0.000           1.653          10.302           0.000           0.000           0.000           3.977           2.449           0.000           0.000           3.654           0.799           8.534
      4.6701000        0.090000          456.88          251.38         0.00649            8.84           1.043           0.000           0.000          34.554           0.000           1.653          10.302           0.000           0.000           0.000           3.753           2.465           0.000           0.000           3.717           0.750           8.807
      4.6701000        0.100000          444.42          240.58         0.00649            8.65           1.002           0.000           0.000          32.646           0.000           1.653          10.302           0.000           0.000           0.000           3.508           2.482           0.000           0.000           3.803           0.687           9.116
      4.6701000        0.110000          432.22          230.12         0.00602            8.62           1.000           0.000           0.000          30.777           0.000           1.653          10.302           0.000           0.000           0.000           3.290           2.499           0.000           0.000           3.877           0.661           9.254
      4.6701000        0.120000          420.31          219.81         0.00392            8.72           1.000           0.000           0.000          28.957           0.000           1.653          10.302           0.000           0.000           0.000           3.037           2.518           0.000           0.000           4.045           0.640           9.409
      4.6701000        0.130000          408.69          209.76         0.00019            8.78           5.472           0.000           0.000          27.201           0.000           1.653          10.302           0.000           0.000           0.000           2.806           2.537           0.000           0.000           4.178           0.619           9.489
      4.6701000        0.140000          397.39          200.00         0.00018            8.68           1.769           0.000           0.000          25.522           0.000           1.653          10.302           0.000           0.000           0.000           2.615           2.554           0.000           0.000           4.238           0.581           9.489
      4.6701000        0.150000          386.43          190.62         0.00013            8.56           7.527           0.000           0.000          23.906           0.000           1.653          10.302           0.000           0.000           0.000           2.449           2.570           0.000           0.000           4.313           0.535           9.360
      4.6701000        0.160000          375.83          181.50         0.00020            8.47           1.854           0.000           0.000          22.364           0.000           1.653          10.302           0.000           0.000           0.000           2.284           2.587           0.000           0.000           4.369           0.502           9.189
      4.6701000        0.170000          365.58          172.75         0.00110            8.38           3.002           0.000           0.000          20.893           0.000           1.653          10.302           0.000           0.000           0.000           2.138           2.602           0.000           0.000           4.420           0.468           8.924
      4.6701000        0.180000          355.70          164.33         0.00012            8.32           4.364           0.000           0.000          19.491           0.000           1.653          10.302           0.000           0.000           0.000           1.994           2.618           0.000           0.000           4.481           0.440           8.591
      4.6701000        0.190000          346.20          156.25         0.00003            8.26           1.276           0.000           0.000          18.162           0.000           1.653          10.302           0.000           0.000           0.000           1.862           2.634           0.000           0.000           4.534           0.411           8.203
