             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV)         chi^2_K         chi^2_K       chi^2_eps         chi^2_D     chi^2_Bd_re     chi^2_Bd_im     chi^2_Bs_re     chi^2_Bs_im  chi^2_Bd_decay  chi^2_Bs_decay  chi^2_K1_decay  chi^2_K2_decay  chi^2_K3_decay       chi^2_Vud       chi^2_Vus       chi^2_Vub

     93.4400000        5.600000          416.06           28.93         0.00013           10.58           9.905           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.449           3.811           0.000           0.000           3.360           1.222          30.776
     93.4400000        5.605000          415.22           29.81         0.00000           10.65           9.785           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.460           3.804           0.000           0.000           3.343           1.241          29.069
     93.4400000        5.610000          414.45           30.71         0.00004           10.75           9.990           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.471           3.796           0.000           0.000           3.319           1.268          27.409
     93.4400000        5.615000          413.75           31.61         0.00012           10.83           9.881           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.483           3.790           0.000           0.000           3.299           1.290          25.784
     93.4400000        5.620000          413.11           32.54         0.00009           10.90           6.706           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.494           3.782           0.000           0.000           3.282           1.310          24.217
     93.4400000        5.625000          412.54           33.50         0.00007           11.01           1.056           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.505           3.775           0.000           0.000           3.255           1.341          22.713
     93.4400000        5.630000          412.04           34.44         0.00009           11.09           1.134           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.518           3.769           0.000           0.000           3.236           1.364          21.224
     93.4400000        5.635000          411.61           35.45         0.00022           11.10           1.071           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.526           3.761           0.000           0.000           3.236           1.366          19.805
     93.4400000        5.640000          411.24           36.39         0.00002           11.28           1.182           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.539           3.756           0.000           0.000           3.194           1.415          18.400
     93.4400000        5.645000          410.94           37.38         0.00011           11.37           1.021           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.550           3.750           0.000           0.000           3.174           1.440          17.056
     93.4400000        5.650000          410.72           38.38         0.00013           11.49           6.265           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.561           3.744           0.000           0.000           3.147           1.473          15.758
     93.4400000        5.655000          410.56           39.38         0.00027           11.54           2.198           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.573           3.738           0.000           0.000           3.135           1.488          14.494
     93.4400000        5.660000          410.48           40.44         0.00002           11.65           6.991           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.583           3.732           0.000           0.000           3.114           1.515          13.308
     93.4400000        5.665000          410.46           41.48         0.00007           11.75           8.828           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.594           3.726           0.000           0.000           3.092           1.544          12.152
     93.4400000        5.670000          410.52           42.56         0.00054           11.85           1.136           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.606           3.721           0.000           0.000           3.070           1.570          11.055
     93.4400000        5.675000          410.65           43.61         0.00001           11.95           3.077           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.616           3.715           0.000           0.000           3.051           1.597           9.995
     93.4400000        5.680000          410.86           44.71         0.00003           12.05           1.017           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.627           3.710           0.000           0.000           3.031           1.623           8.995
     93.4400000        5.685000          411.13           45.81         0.00007           12.10           7.847           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.638           3.705           0.000           0.000           3.022           1.636           8.039
     93.4400000        5.690000          411.48           46.85         0.00011           12.30           9.995           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.649           3.701           0.000           0.000           2.981           1.690           7.117
     93.4400000        5.695000          411.91           48.04         0.00006           12.34           1.557           0.000           0.000           0.000           0.000           1.653          10.302           0.000           0.000           0.000          13.661           3.696           0.000           0.000           2.973           1.703           6.282
